Kategorie: Alle Kategorien

Woche,Influenza: (Solothurn),influenza: (Solothurn),Grippe: (Solothurn),Flu: (Solothurn)
2017-11-05,13,0,9,0
2017-11-12,0,0,0,0
2017-11-19,7,0,15,0
2017-11-26,12,9,8,11
2017-12-03,11,0,10,0
2017-12-10,14,0,0,6
2017-12-17,18,17,14,0
2017-12-24,15,6,13,0
2017-12-31,24,0,17,0
2018-01-07,12,0,8,13
2018-01-14,19,0,17,0
2018-01-21,21,10,22,0
2018-01-28,31,0,0,0
2018-02-04,35,0,29,0
2018-02-11,32,7,19,0
2018-02-18,20,0,16,0
2018-02-25,15,0,16,5
2018-03-04,39,0,20,0
2018-03-11,15,0,16,0
2018-03-18,16,7,23,0
2018-03-25,7,0,18,17
2018-04-01,0,0,11,0
2018-04-08,12,5,9,0
2018-04-15,23,5,9,8
2018-04-22,6,0,0,5
2018-04-29,0,0,0,0
2018-05-06,0,0,0,0
2018-05-13,0,0,0,7
2018-05-20,9,0,0,0
2018-05-27,0,0,8,0
2018-06-03,0,0,0,0
2018-06-10,12,0,0,0
2018-06-17,0,0,0,14
2018-06-24,7,0,0,0
2018-07-01,0,6,0,8
2018-07-08,19,0,0,0
2018-07-15,0,6,0,0
2018-07-22,0,0,0,0
2018-07-29,0,0,6,0
2018-08-05,8,0,11,0
2018-08-12,0,0,0,0
2018-08-19,0,0,5,0
2018-08-26,14,0,0,0
2018-09-02,11,0,13,0
2018-09-09,0,0,0,0
2018-09-16,0,0,0,5
2018-09-23,0,0,5,0
2018-09-30,13,10,0,10
2018-10-07,11,0,17,0
2018-10-14,14,0,12,0
2018-10-21,11,0,0,0
2018-10-28,8,14,0,0
2018-11-04,5,0,11,0
2018-11-11,7,23,0,0
2018-11-18,9,0,13,0
2018-11-25,10,0,18,8
2018-12-02,7,0,0,12
2018-12-09,21,0,10,0
2018-12-16,6,0,12,11
2018-12-23,0,0,0,0
2018-12-30,0,0,30,0
2019-01-06,6,0,0,0
2019-01-13,20,16,12,16
2019-01-20,9,0,31,0
2019-01-27,12,0,12,0
2019-02-03,28,0,20,0
2019-02-10,12,15,10,0
2019-02-17,19,8,17,0
2019-02-24,17,13,0,7
2019-03-03,9,0,14,0
2019-03-10,15,14,9,5
2019-03-17,14,7,11,0
2019-03-24,0,0,0,0
2019-03-31,0,6,0,7
2019-04-07,7,0,0,0
2019-04-14,0,0,0,12
2019-04-21,9,0,0,6
2019-04-28,18,0,12,0
2019-05-05,7,0,9,0
2019-05-12,7,0,5,5
2019-05-19,0,9,0,0
