Kategorie: Alle Kategorien

Woche,Influenza: (Wallis),influenza: (Wallis),Grippe: (Wallis),Flu: (Wallis)
2017-11-05,0,0,8,7
2017-11-12,0,8,4,0
2017-11-19,13,0,10,0
2017-11-26,7,0,10,0
2017-12-03,8,0,0,0
2017-12-10,13,0,18,0
2017-12-17,16,0,0,0
2017-12-24,32,0,22,8
2017-12-31,28,0,27,0
2018-01-07,33,0,21,0
2018-01-14,16,0,14,0
2018-01-21,20,0,20,0
2018-01-28,13,0,17,0
2018-02-04,14,0,9,0
2018-02-11,15,3,12,0
2018-02-18,6,0,7,0
2018-02-25,22,0,15,3
2018-03-04,13,0,11,3
2018-03-11,9,3,9,0
2018-03-18,6,0,3,7
2018-03-25,11,0,9,0
2018-04-01,9,4,3,0
2018-04-08,0,0,0,0
2018-04-15,14,3,0,0
2018-04-22,4,4,0,3
2018-04-29,4,0,0,0
2018-05-06,4,0,0,0
2018-05-13,0,0,6,7
2018-05-20,0,0,5,0
2018-05-27,5,0,6,0
2018-06-03,4,5,0,7
2018-06-10,0,9,0,6
2018-06-17,3,15,0,0
2018-06-24,0,0,0,0
2018-07-01,0,0,0,0
2018-07-08,4,0,0,0
2018-07-15,3,0,0,0
2018-07-22,7,0,0,0
2018-07-29,0,0,0,0
2018-08-05,0,0,8,0
2018-08-12,0,5,4,0
2018-08-19,0,0,0,0
2018-08-26,5,0,0,0
2018-09-02,0,0,0,0
2018-09-09,0,0,4,0
2018-09-16,12,0,0,3
2018-09-23,3,0,9,0
2018-09-30,4,0,9,0
2018-10-07,13,0,9,0
2018-10-14,5,0,14,0
2018-10-21,5,0,4,0
2018-10-28,8,0,10,3
2018-11-04,13,0,11,0
2018-11-11,15,0,9,16
2018-11-18,6,3,4,0
2018-11-25,13,0,7,0
2018-12-02,9,8,9,0
2018-12-09,5,0,6,0
2018-12-16,6,0,4,0
2018-12-23,11,4,14,0
2018-12-30,10,3,14,0
2019-01-06,9,0,12,0
2019-01-13,10,0,10,0
2019-01-20,23,0,20,0
2019-01-27,17,0,21,7
2019-02-03,13,0,13,0
2019-02-10,22,0,20,0
2019-02-17,22,0,15,4
2019-02-24,18,0,15,8
2019-03-03,11,0,0,0
2019-03-10,4,0,7,3
2019-03-17,7,10,14,0
2019-03-24,10,0,4,3
2019-03-31,7,0,4,0
2019-04-07,6,0,0,0
2019-04-14,3,0,11,4
2019-04-21,4,0,5,0
2019-04-28,0,0,5,4
