Kategorie: Alle Kategorien

Woche,Influenza: (Neuenburg),influenza: (Neuenburg),Grippe: (Neuenburg),Flu: (Neuenburg)
2022-11-27,0,0,24,0
2022-12-04,37,11,26,0
2022-12-11,24,0,24,0
2022-12-18,73,0,100,13
2022-12-25,71,17,58,0
2023-01-01,59,0,29,28
2023-01-08,10,0,16,0
2023-01-15,0,0,40,0
2023-01-22,15,17,0,0
2023-01-29,34,0,23,0
2023-02-05,26,0,13,0
2023-02-12,28,0,31,16
2023-02-19,41,19,34,0
2023-02-26,24,0,28,0
2023-03-05,27,21,14,10
2023-03-12,36,0,25,0
2023-03-19,29,0,24,0
2023-03-26,19,0,41,0
2023-04-02,32,0,20,0
2023-04-09,33,17,0,0
2023-04-16,27,0,0,0
2023-04-23,0,0,13,0
2023-04-30,18,0,12,0
2023-05-07,0,11,12,10
2023-05-14,0,18,0,0
2023-05-21,19,0,0,0
2023-05-28,0,0,0,0
2023-06-04,16,0,12,0
2023-06-11,20,0,0,35
2023-06-18,0,42,0,16
2023-06-25,12,0,23,0
2023-07-02,0,0,0,0
2023-07-09,0,0,0,0
2023-07-16,0,0,0,0
2023-07-23,0,0,0,0
2023-07-30,0,0,0,33
2023-08-06,0,17,0,0
2023-08-13,0,0,16,0
2023-08-20,11,0,0,0
2023-08-27,0,0,0,0
2023-09-03,16,0,0,0
2023-09-10,42,0,0,0
2023-09-17,0,0,19,0
2023-09-24,0,0,0,15
2023-10-01,0,0,41,0
2023-10-08,0,0,0,28
2023-10-15,35,0,25,0
2023-10-22,0,0,12,0
2023-10-29,20,0,25,0
2023-11-05,23,0,36,14
2023-11-12,44,0,15,0
