Kategorie: Alle Kategorien

Woche,Influenza: (Tessin),influenza: (Tessin),Grippe: (Tessin),Flu: (Tessin)
2017-11-05,14,6,9,0
2017-11-12,0,4,11,0
2017-11-19,7,4,0,0
2017-11-26,0,4,0,0
2017-12-03,0,4,4,0
2017-12-10,13,0,10,0
2017-12-17,14,7,0,0
2017-12-24,36,23,6,0
2017-12-31,34,28,0,7
2018-01-07,15,9,0,16
2018-01-14,11,6,4,4
2018-01-21,24,13,3,4
2018-01-28,22,9,0,8
2018-02-04,22,12,0,4
2018-02-11,20,11,0,0
2018-02-18,13,4,6,0
2018-02-25,5,5,0,3
2018-03-04,8,0,0,0
2018-03-11,8,9,0,0
2018-03-18,7,0,4,0
2018-03-25,8,0,12,0
2018-04-01,16,0,9,0
2018-04-08,8,0,0,0
2018-04-15,0,0,4,0
2018-04-22,0,4,0,0
2018-04-29,4,0,0,7
2018-05-06,0,6,0,0
2018-05-13,0,0,3,3
2018-05-20,4,4,0,0
2018-05-27,4,0,0,0
2018-06-03,0,0,0,0
2018-06-10,0,0,0,0
2018-06-17,4,6,5,0
2018-06-24,6,0,0,0
2018-07-01,0,0,0,0
2018-07-08,6,0,0,0
2018-07-15,0,0,14,5
2018-07-22,5,7,0,0
2018-07-29,5,0,7,0
2018-08-05,11,0,0,0
2018-08-12,4,0,0,0
2018-08-19,0,0,0,0
2018-08-26,0,4,0,0
2018-09-02,0,0,0,0
2018-09-09,0,0,0,0
2018-09-16,4,11,0,4
2018-09-23,3,0,4,0
2018-09-30,9,0,0,0
2018-10-07,4,10,0,0
2018-10-14,15,12,0,6
2018-10-21,13,0,0,0
2018-10-28,10,6,0,0
2018-11-04,8,10,5,0
2018-11-11,5,0,0,3
2018-11-18,0,9,0,0
2018-11-25,12,17,4,0
2018-12-02,5,9,0,0
2018-12-09,18,4,0,0
2018-12-16,8,18,0,0
2018-12-23,11,0,0,0
2018-12-30,9,10,0,0
2019-01-06,16,0,0,0
2019-01-13,20,12,3,0
2019-01-20,5,8,4,0
2019-01-27,15,17,0,0
2019-02-03,17,14,12,0
2019-02-10,11,11,0,7
2019-02-17,11,12,3,0
2019-02-24,23,13,5,0
2019-03-03,14,9,3,0
2019-03-10,6,8,5,5
2019-03-17,9,0,0,4
2019-03-24,4,0,8,0
2019-03-31,18,6,0,0
2019-04-07,7,10,0,0
2019-04-14,10,0,0,0
2019-04-21,0,0,0,8
2019-04-28,0,4,0,4
2019-05-05,0,0,0,0
2019-05-12,0,3,4,4
2019-05-19,12,6,0,0
2019-05-26,0,12,0,7
2019-06-02,0,3,0,3
2019-06-09,0,0,0,0
2019-06-16,3,0,0,0
2019-06-23,10,0,3,0
2019-06-30,3,0,0,0
2019-07-07,4,8,0,0
2019-07-14,5,0,0,0
2019-07-21,4,0,0,0
2019-07-28,0,3,0,0
2019-08-04,0,0,0,0
2019-08-11,0,0,0,0
2019-08-18,0,0,0,0
2019-08-25,3,3,0,4
2019-09-01,5,0,3,3
2019-09-08,3,0,4,0
2019-09-15,6,7,0,0
2019-09-22,7,0,0,0
2019-09-29,4,5,5,0
2019-10-06,5,9,0,0
2019-10-13,3,0,0,0
2019-10-20,20,8,0,0
2019-10-27,0,0,15,0
2019-11-03,5,6,0,0
2019-11-10,5,0,4,6
2019-11-17,3,0,0,0
2019-11-24,3,5,0,0
2019-12-01,14,8,0,0
2019-12-08,5,5,0,4
2019-12-15,0,3,4,0
2019-12-22,9,9,0,5
2019-12-29,9,8,0,0
2020-01-05,9,11,0,7
2020-01-12,17,0,0,0
2020-01-19,26,6,0,0
2020-01-26,35,22,9,0
2020-02-02,24,15,0,7
2020-02-09,21,16,0,0
2020-02-16,37,20,0,0
2020-02-23,100,77,14,5
2020-03-01,42,36,0,3
2020-03-08,80,54,13,3
2020-03-15,46,31,6,0
2020-03-22,26,25,0,4
2020-03-29,24,21,0,0
2020-04-05,22,15,5,3
2020-04-12,16,19,0,4
2020-04-19,15,10,0,9
2020-04-26,11,11,0,0
2020-05-03,9,0,0,3
2020-05-10,7,5,0,2
2020-05-17,11,7,10,0
2020-05-24,8,8,0,0
2020-05-31,5,8,0,0
2020-06-07,4,0,0,0
2020-06-14,0,2,0,0
2020-06-21,4,0,0,0
2020-06-28,0,4,4,0
2020-07-05,0,4,0,0
2020-07-12,0,6,0,4
2020-07-19,4,5,0,0
2020-07-26,7,0,0,0
2020-08-02,0,0,0,0
2020-08-09,0,0,4,0
2020-08-16,6,0,0,0
2020-08-23,5,0,0,0
2020-08-30,6,9,2,0
2020-09-06,7,4,0,4
2020-09-13,9,5,0,0
2020-09-20,6,0,0,0
2020-09-27,11,4,5,0
2020-10-04,19,12,5,0
2020-10-11,21,10,0,0
2020-10-18,12,12,3,2
2020-10-25,17,13,6,0
2020-11-01,18,11,4,0
2020-11-08,21,20,0,0
2020-11-15,14,15,0,5
2020-11-22,0,0,0,6
2020-11-29,6,8,0,0
2020-12-06,20,9,0,0
2020-12-13,14,14,4,0
2020-12-20,7,5,0,0
2020-12-27,3,6,0,0
2021-01-03,5,3,0,0
2021-01-10,5,10,5,0
2021-01-17,5,4,0,0
2021-01-24,5,0,3,0
2021-01-31,10,6,0,0
2021-02-07,5,3,0,0
2021-02-14,7,0,0,0
2021-02-21,0,0,0,0
2021-02-28,6,0,2,9
2021-03-07,6,5,3,3
2021-03-14,12,13,0,0
2021-03-21,7,4,4,2
2021-03-28,8,0,0,0
2021-04-04,4,0,7,0
2021-04-11,4,0,0,0
2021-04-18,3,0,0,0
2021-04-25,5,0,6,4
2021-05-02,6,6,5,0
2021-05-09,0,10,4,0
2021-05-16,4,5,0,0
2021-05-23,5,3,0,0
2021-05-30,6,0,4,0
2021-06-06,0,3,0,0
2021-06-13,0,3,0,0
2021-06-20,0,4,0,3
2021-06-27,0,0,0,0
2021-07-04,0,0,4,3
2021-07-11,0,4,0,0
2021-07-18,0,6,0,0
2021-07-25,5,0,0,4
2021-08-01,5,4,0,0
2021-08-08,0,0,11,0
2021-08-15,0,0,7,0
2021-08-22,4,0,0,5
2021-08-29,3,0,0,0
2021-09-05,4,11,0,0
2021-09-12,0,0,0,5
2021-09-19,0,5,5,0
2021-09-26,9,10,6,0
2021-10-03,3,0,3,0
2021-10-10,10,5,0,10
2021-10-17,5,5,4,3
2021-10-24,3,4,0,4
2021-10-31,0,7,9,0
2021-11-07,16,0,3,4
2021-11-14,0,7,0,0
2021-11-21,10,10,8,0
2021-11-28,21,15,0,3
2021-12-05,11,9,0,0
2021-12-12,14,0,12,3
2021-12-19,10,8,4,0
2021-12-26,13,7,0,0
2022-01-02,10,14,0,0
2022-01-09,15,5,4,0
2022-01-16,7,4,0,3
2022-01-23,6,3,3,14
2022-01-30,3,0,3,0
2022-02-06,9,5,0,0
2022-02-13,7,5,2,2
2022-02-20,11,0,0,0
2022-02-27,12,3,0,4
2022-03-06,5,0,4,2
2022-03-13,0,7,3,0
2022-03-20,4,4,3,3
2022-03-27,5,4,0,0
2022-04-03,8,9,2,5
2022-04-10,4,3,2,0
2022-04-17,0,0,0,0
2022-04-24,10,6,0,0
2022-05-01,6,0,0,2
2022-05-08,4,5,2,0
2022-05-15,0,0,0,0
2022-05-22,0,0,0,0
2022-05-29,6,3,0,0
2022-06-05,4,4,0,0
2022-06-12,13,10,0,0
2022-06-19,3,0,0,0
2022-06-26,4,3,0,3
2022-07-03,4,0,0,0
2022-07-10,0,0,0,0
2022-07-17,7,3,4,0
2022-07-24,11,0,0,0
2022-07-31,0,0,0,0
2022-08-07,3,2,0,0
2022-08-14,0,2,0,0
2022-08-21,3,0,0,0
2022-08-28,3,3,0,0
2022-09-04,4,0,0,0
2022-09-11,11,6,3,0
2022-09-18,9,3,0,0
2022-09-25,7,3,2,0
2022-10-02,11,3,0,0
2022-10-09,4,5,3,0
2022-10-16,9,4,3,0
2022-10-23,5,0,4,0
2022-10-30,11,7,0,0
2022-11-06,10,0,0,0
2022-11-13,12,5,0,0
2022-11-20,12,5,0,2
2022-11-27,13,14,0,2
2022-12-04,19,17,0,0
2022-12-11,24,16,3,0
2022-12-18,33,25,5,5
2022-12-25,34,25,0,0
