Kategorie: Alle Kategorien

Woche,Influenza: (Bern),influenza: (Bern),Grippe: (Bern),Flu: (Bern)
2022-11-27,20,0,16,10
2022-12-04,28,0,24,2
2022-12-11,35,11,29,9
2022-12-18,100,17,85,3
2022-12-25,79,17,63,0
2023-01-01,54,9,46,3
2023-01-08,34,6,32,0
2023-01-15,27,9,22,0
2023-01-22,19,3,14,4
2023-01-29,32,0,20,3
2023-02-05,32,5,28,7
2023-02-12,42,7,23,0
2023-02-19,29,3,29,0
2023-02-26,28,4,31,3
2023-03-05,35,6,22,6
2023-03-12,35,2,27,0
2023-03-19,25,4,14,0
2023-03-26,23,2,16,0
2023-04-02,25,5,20,0
2023-04-09,18,0,10,6
2023-04-16,18,0,16,4
2023-04-23,14,2,8,0
2023-04-30,22,5,14,4
2023-05-07,15,0,7,3
2023-05-14,28,0,14,3
2023-05-21,16,0,11,0
2023-05-28,10,0,9,9
2023-06-04,12,0,9,0
2023-06-11,12,6,4,0
2023-06-18,12,4,7,0
2023-06-25,13,0,9,0
2023-07-02,14,3,7,0
2023-07-09,10,0,6,0
2023-07-16,8,0,4,0
2023-07-23,16,0,8,0
2023-07-30,6,0,4,0
2023-08-06,14,3,8,0
2023-08-13,16,3,8,0
2023-08-20,11,6,11,5
2023-08-27,12,5,4,3
2023-09-03,23,0,21,5
2023-09-10,13,3,10,0
2023-09-17,19,0,15,6
2023-09-24,15,0,16,0
2023-10-01,14,0,16,0
2023-10-08,16,0,18,0
2023-10-15,13,0,16,0
2023-10-22,25,0,15,3
2023-10-29,33,2,28,0
2023-11-05,42,7,28,3
2023-11-12,42,5,33,4
